"PAIS","COD_SKU","FAMILY","MODEL_NAME","BRAND","TIER","STATUS"
PA,"756",SAMSUNG GALAXY S23 PLUS 8GB+512GB,SAMSUNG GALAXY S23 PLUS 8GB+512GB,SAMSUNG,FLAGSHIP,EOL
PA,"709",HONOR X6 4GB+64GB,HONOR X6 4GB+64GB,HONOR,MID,EOL
PA,"1583",HONOR X8B 8GB+256GB,HONOR X8B 8GB+256GB,HONOR,MIDHIGH,EOL
PA,"1608",SAMSUNG GALAXY S24 ULTRA 12GB+512GB,SAMSUNG GALAXY S24 ULTRA 12GB+512GB,SAMSUNG,FLAGSHIP,EOL
PA,"1599",SAMSUNG GALAXY A15 6GB+128GB,SAMSUNG GALAXY A15 6GB+128GB,SAMSUNG,MID,EOL
PA,"1327",HONOR MAGIC 5 LITE 6GB+128GB,HONOR MAGIC 5 LITE 6GB+128GB,HONOR,HIGH,EOL
PA,"1377",SAMSUNG A14 LTE 4GB+128GB,SAMSUNG A14 LTE 4GB+128GB,SAMSUNG,MID,EOL
PA,"1395",XIAOMI REDMI 12C 4GB+128GB,XIAOMI REDMI 12C 4GB+128GB,XIAOMI,MID,EOL
PA,"1661",TECNO SPARK GO 2024 4GB+128GB,TECNO SPARK GO 2024 4GB+128GB,TECNO,MID,EOL
PA,"1323",SAMSUNG GALAXY A04S 4GB+128GB,SAMSUNG GALAXY A04S 4GB+128GB,SAMSUNG,MID,EOL
PA,"582",HONOR 70 8GB+256GB,HONOR 70 8GB+256GB,HONOR,ULTRA HIGH,EOL
PA,"1843",SAMSUNG GALAXY A16 5G 6GB+128GB,SAMSUNG GALAXY A16 5G 6GB+128GB,SAMSUNG,MID,ACTIVO
PA,"1647",SAMSUNG GALAXY S24 8+256GB,SAMSUNG GALAXY S24 8+256GB,SAMSUNG,FLAGSHIP,EOL
PA,"1663",TECNO SPARK 20 8GB+256GB,TECNO SPARK 20 8GB+256GB,TECNO,MID,EOL
PA,"1640",HONOR MAGIC 6 LITE 8G+ 256 GB,HONOR MAGIC 6 LITE 8G+ 256 GB,HONOR,MIDHIGH,EOL
PA,"726",IPHONE 14 128GB,IPHONE 14 128GB,APPLE,ULTRA HIGH,EOL
PA,"1639",HONOR MAGIC 6 LITE 8G+ 256 GB,HONOR MAGIC 6 LITE 8G+ 256 GB,HONOR,MIDHIGH,EOL
PA,"148",SAMSUNG Z FOLD7 12GB+512GB,SAMSUNG Z FOLD7 12GB+512GB,SAMSUNG,FLAGSHIP,ACTIVE
PA,"1662",TECNO SPARK 20 PRO 8GB+256GB,TECNO SPARK 20 PRO 8GB+256GB,TECNO,MID,EOL
PA,"1331",SAMSUNG GALAXY S23 PLUS 8GB+256GB,SAMSUNG GALAXY S23 PLUS 8GB+256GB,SAMSUNG,FLAGSHIP,EOL
PA,"2782",TECNO SPARK 40 5G 8GB+256GB,TECNO SPARK 40 5G 8GB+256GB,TECNO,MIDLOW,ACTIVE
PA,"2393",TECNO SPARK 30 5G 8GB+256GB,TECNO SPARK 30 5G 8GB+256GB,TECNO,MIDLOW,ACTIVE
PA,"2780",TECNO SPARK 40 4GB+256GB,TECNO SPARK 40 4GB+256GB,TECNO,MIDLOW,ACTIVE
PA,"2392",TECNO SPARK 30 5G 8GB+256GB,TECNO SPARK 30 5G 8GB+256GB,TECNO,MIDLOW,ACTIVE
PA,"205",HONOR MAGIC 8 LITE 5G 8GB+256GB,HONOR MAGIC 8 LITE 5G 8GB+256GB,HONOR,,ACTIVE
PA,"2404",SAMSUNG S26 12GB+256GB,SAMSUNG S26 12GB+256GB,SAMSUNG,,ACTIVE
PA,"2414",SAMSUNG A17 5G 8GB+256GB,SAMSUNG A17 5G 8GB+256GB,SAMSUNG,,ACTIVE
